Joint	Plane	ICC_W1	ICC_W2	ICC_W3	SEM_W1	SEM_W2	SEM_W3
LANK	X	0.94997391729875	0.946280394289117	0.939944245914664	0.5258920934824	0.601140389232108	0.554306760709479
LANK	Y	0.825175159253599	0.839952353561835	0.745908890424132	0.349107473385116	0.354794666614113	0.356778354156981
LANK	Z	0.9048189851755	0.919142160612986	0.886681761147267	0.65361764566666	0.589137937986137	0.62897966438324
LHIP	X	0.953103583356312	0.942925404627929	0.939985137499898	0.596578375947307	0.66505095986389	0.546586657119924
LHIP	Y	0.958594463722467	0.965449890366579	0.958494459645069	0.424013763890618	0.39669524988736	0.431658883951646
LHIP	Z	0.960741355454631	0.94223921993473	0.911260349901374	0.358548823508843	0.398147491944583	0.410126044560182
LKNEE	X	0.94184134315125	0.920000473892733	0.940703898619979	0.766837845799491	0.882960161629425	0.76729707160656
LKNEE	Y	0.973883388287374	0.964083992222237	0.955313199884778	0.2392933112628	0.273478375473783	0.270846171349107
LKNEE	Z	0.937404197240369	0.928794436953125	0.874992038082358	0.413837770814002	0.409369840445548	0.540627806538879
LPV	X	0.925327000920916	0.897584046797312	0.900326872203301	0.336086032456318	0.333485338746326	0.317067119587353
LPV	Y	0.95140966936137	0.968099024594794	0.945237516110536	0.300082199559064	0.273622589008214	0.339358145041239
LPV	Z	0.952794788725116	0.957880208231577	0.792333599583898	0.537663349591138	0.54154415044216	0.689200337433979
