Joint	Plane	ICC_W1	ICC_W2	ICC_W3	SEM_W1	SEM_W2	SEM_W3
RANK	X	0.95362426857228	0.94406818043962	0.85727925538421	0.459993168028309	0.588756473961804	0.675837135357908
RANK	Y	0.843653544481443	0.823547314753533	0.519463520985873	0.472909734497075	0.513080230588886	0.564910121058982
RANK	Z	0.920215959986479	0.906132937945301	0.896624046206984	0.620547676464542	0.707744783717165	0.657834227503692
RHIP	X	0.931194840582169	0.891441622728569	0.916689426207217	0.658365403986605	0.774267537300601	0.746925037729153
RHIP	Y	0.944353072285344	0.938040926584086	0.861097681334178	0.438118597565834	0.504858050133471	0.574449153405562
RHIP	Z	0.947058657785211	0.915444559856033	0.919825824746836	0.479906846341037	0.560266292323333	0.522211589965248
RKNEE	X	0.95314285309853	0.941092849488215	0.902943541341333	0.581654075614578	0.674455625459049	0.772053336256585
RKNEE	Y	0.973010693514782	0.966567497690233	0.952717859501872	0.309181429169886	0.360131192929358	0.32523198331666
RKNEE	Z	0.791553851034398	0.808189397090738	0.729986966164674	0.60263080490957	0.635499342746713	0.745359136355098
RPV	X	0.864268052644178	0.753239322820292	0.794660283440271	0.468603138958655	0.553726075173778	0.513479886707066
RPV	Y	0.913939290347866	0.923697756678602	0.898575169832251	0.396999672624585	0.405422845836875	0.498319800118385
RPV	Z	0.986534635236833	0.955611049927586	0.962559575205756	0.285053067400787	0.432021562442043	0.423365608929498
