Joint	Plane	ICC_W1	ICC_W2	ICC_W3	ICC_Avg	SEM_W1	SEM_W2	SEM_W3	SEM_Avg
RANK	X	0.938164961	0.946157197	0.875281437	0.919867865	0.567135801	0.600067869	0.593805027	0.587002899
RANK	Y	0.911754244	0.890461754	0.679105756	0.827107252	0.357644125	0.380639769	0.340735125	0.359673006
RANK	Z	0.920111694	0.89958716	0.880366781	0.900021878	0.649977947	0.742946735	0.710036595	0.700987092
RHIP	X	0.952515692	0.924961368	0.940540425	0.939339162	0.568652969	0.642480175	0.648163771	0.619765638
RHIP	Y	0.956191022	0.959611483	0.905386163	0.940396222	0.401260895	0.399217507	0.46206021	0.420846204
RHIP	Z	0.968243204	0.96103907	0.961283135	0.963521803	0.380616751	0.37361716	0.377633747	0.377289219
RKNEE	X	0.932367341	0.927566285	0.873064953	0.910999526	0.764059778	0.804488749	0.883549179	0.817365902
RKNEE	Y	0.983189032	0.983935974	0.976915462	0.981346823	0.252954533	0.258793982	0.257700939	0.256483151
RKNEE	Z	0.887433898	0.900701574	0.835935839	0.874690437	0.410407788	0.408499673	0.483730347	0.434212603
RPV	X	0.912326319	0.851188072	0.881763703	0.881759365	0.358341266	0.373949733	0.309110083	0.347133694
RPV	Y	0.949937211	0.959894479	0.95377188	0.954534524	0.300962845	0.283525967	0.342795043	0.309094618
RPV	Z	0.953177955	0.94444496	0.945252719	0.947625212	0.520073978	0.486226141	0.567017024	0.524439048
									
Avg. ICC	0.920100839								
SD. ICC	0.055738408								
Avg. SEM	0.479524423								
SD. SEM	0.169035207								
